loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,1,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,title,zip_code,addr_state,dti,open_acc,revol_bal,revol_util,total_acc,application_type,tot_cur_bal,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
3600,3600, 36 months,7.49%,111.97,A,A4,1,10+ years,MORTGAGE,120000,Not Verified,Issued,other,Other,467xx,IN,18.9,18,5658,14.90%,33,INDIVIDUAL,36506,13,2147,0,93599,36506,9000,55699
15000,15000, 60 months,14.99%,356.78,C,C4,5,10+ years,MORTGAGE,125000,Not Verified,Issued,other,Other,064xx,CT,17.25,11,53167,75.30%,18,INDIVIDUAL,90423,4,8220,0,148572,69364,60300,30224
8400,8400, 36 months,11.39%,276.56,B,B3,7,8 years,MORTGAGE,50000,Source Verified,Issued,other,Other,454xx,OH,15.63,14,12831,30.30%,30,INDIVIDUAL,161061,10,12389,0,205671,51591,36100,36876
4000,4000, 36 months,10.49%,130,B,B2,10,2 years,RENT,50000,Source Verified,Issued,major_purchase,Major purchase,768xx,TX,33.61,10,4388,33.20%,33,INDIVIDUAL,136208,6,13621,0,152852,136208,2500,139652
6000,6000, 36 months,7.24%,185.93,A,A3,12,3 years,RENT,125000,Source Verified,Current,credit_card,Credit card refinancing,981xx,WA,9.25,16,9571,41.30%,27,INDIVIDUAL,60622,4,3789,0,72865,60622,23200,49665
20000,20000, 36 months,15.99%,703.05,C,C5,15,1 year,RENT,77000,Not Verified,Issued,debt_consolidation,Debt consolidation,941xx,CA,29.02,13,11843,26%,24,INDIVIDUAL,39953,6,3073,0,91877,39953,35900,46377
5000,5000, 36 months,14.99%,173.31,C,C4,17,10+ years,RENT,68000,Not Verified,Issued,debt_consolidation,Debt consolidation,945xx,CA,22.5,6,10276,90.10%,18,INDIVIDUAL,36168,2,6028,0,52113,36168,11400,40713
20000,20000, 36 months,8.24%,628.95,B,B1,21,10+ years,MORTGAGE,100000,Source Verified,Issued,debt_consolidation,Debt consolidation,852xx,AZ,17.44,11,16206,60%,21,INDIVIDUAL,264832,5,26483,0,301225,32374,16700,38772
12000,12000, 36 months,7.99%,375.99,A,A5,37,9 years,MORTGAGE,100000,Verified,Issued,debt_consolidation,Debt consolidation,917xx,CA,28.82,14,25423,52.10%,65,INDIVIDUAL,555654,15,42743,0,601250,154720,48000,148041
9900,9900, 36 months,5.32%,298.14,A,A1,911,10+ years,MORTGAGE,53000,Not Verified,Issued,debt_consolidation,Debt consolidation,307xx,GA,19.47,10,6585,34.50%,22,INDIVIDUAL,146116,1,14612,0,184966,43218,13200,48908
10000,10000, 36 months,7.49%,311.02,A,A4,   GOVERNMENT ACCOUNT SPECIALIST,4 years,RENT,85000,Not Verified,Issued,debt_consolidation,Debt consolidation,021xx,MA,17.68,12,7668,48.50%,26,INDIVIDUAL,52149,2,4346,0,88045,52149,15800,72245
12000,12000, 36 months,6.99%,370.48,A,A2,  Case manager ,10+ years,MORTGAGE,56000,Not Verified,Current,home_improvement,Home improvement,852xx,AZ,17.9,13,6665,24%,28,INDIVIDUAL,139230,4,10710,0,172161,21540,22000,23500
9000,9000, 36 months,11.39%,296.32,B,B3,  President ,10+ years,MORTGAGE,60000,Not Verified,Issued,medical,Medical expenses,761xx,TX,19.58,13,20779,30%,25,INDIVIDUAL,46443,4,3573,0,139437,32412,38700,18400
5000,5000, 36 months,25.49%,200.1,E,E4,  Project manager ,10+ years,MORTGAGE,215000,Source Verified,Issued,debt_consolidation,Debt consolidation,067xx,CT,6.06,11,8678,18.80%,16,INDIVIDUAL,44754,6,4069,0,100763,44754,46200,49814
16000,16000, 60 months,12.74%,361.93,C,C1, Account Manager 1,10+ years,MORTGAGE,72000,Not Verified,Issued,major_purchase,Major purchase,207xx,MD,29.66,18,44363,77.60%,25,INDIVIDUAL,235542,2,13855,0,296264,93547,54200,49562
14400,14400, 36 months,10.49%,467.97,B,B2, Accounts payable ,6 years,MORTGAGE,130000,Not Verified,Issued,vacation,Vacation,913xx,CA,30.77,22,17867,31.30%,42,INDIVIDUAL,516003,11,28667,0,613293,69480,48500,84256
